изучать,to study
как,how
куда ,where
курйть,to smoke
Лондон,London
меня,me
метро,"metro, underground"
мы,we
на,on
но,but
He,not
онй,they
очень,very
по-англййски ,in English
подруга,friend
понимать,to understand
По-русски,in Russian
по-французски ,in French
почему,why
приятно,pleasant
проспект,"avenue, prospekt"
проспект мира ,Peace Avenue
работать ,to work
Россйя ,Russia
русский язык ,Russian language
скажите,tell/say
теперь,now
тоже,too
троллейбус ,trolleybus
ты,you
улица ,street
улица Волгина, Volgin Street
хорошо ,well
я,I 
язык ,language
Познакомьтесь ,Let me introduce you ('Become acquainted’).
Моя,my
французское имя ,French name
