авиаконверт,airmail envelope
английский,English
банан,banana
без,without
билет,ticket
брать,to take
всё,everything
буфет,snackbar
вещь,thing
всего,all/only
вчера,yesterday
дети,children
для,for
значит,so (that means)
из,"out of,from"
иностранный,foreign
к сожалению,unfortunately
карта,map
конверт,envelope
конечно,оf course
кроме,"apart from,except"
ли,whether
что ли?,"am I? is it?"
марка,stamp
машина,"саг, machine"
мимо,past
напротив,opposite (place adverb)
нет,there isn't/there aren't
неудобно,it's awkward
около,"near, approximately"
пирог,(large) pie
после,after
посмотрите,look (imperative)
почтовый,postage (adj)
приятный,pleasant
просто,simply
прбтив,opposite
путеводйтель,guidebook
ради,for the sake of
разговор,conversation
размер,"size, dimension"
рыба,fish
рыбный,fish
с,"off, from"
свободный,free
сегодня утром,this morning
слишком,"too (excessively)"
словарь,dictionary
собака,dog
совсем,completely
совсем нет,none at all
сок,juice
специально,specially
средний,"average, middle"
столько,"so much, so many"
сюрприз,surprise
так как,"since (because)"
такой,such
у,"near, by"
цена,price
